Transaction ID,Customer ID,Customer Age Group,Product Category,Product Name,Unit Price (R),Quantity Purchased,Total Sale Amount (R),Date of Purchase,Payment Method
T0165,C7233,60+,Bedroom,Wardrobe,6834.84,1,6834.84,2024-03-14,Store Account
T0166,C3911,60+,Bedroom,Wardrobe,19947.17,5,99735.85,2024-03-17,Cash
T0167,C3896,60+,Décor,Rug,9242.97,2,18485.94,2024-11-26,Credit Card
T0168,C9994,26-40,Décor,Curtains,13589.95,5,67949.75,2024-07-25,Cash
T0169,C3282,18-25,Dining,Bar Stool,11808.56,4,47234.24,2024-07-03,EFT
T0170,C4360,18-25,Bedroom,Mattress,646.06,4,2584.24,2024-05-26,Cash
T0171,C4855,26-40,Living Room,Coffee Table,14094.43,2,28188.86,2024-07-09,Cash
T0172,C4833,18-25,Bedroom,Bedside Table,5646.38,2,11292.76,2024-03-26,Cash
T0173,C9720,18-25,Décor,Rug,13147.74,1,13147.74,2024-02-09,Credit Card
T0174,C4074,26-40,Décor,Wall Art,5478.91,4,21915.64,2024-05-15,Store Account
T0175,C8002,26-40,Décor,Lamp,11844.7,3,35534.1,2024-11-21,Credit Card
T0176,C7009,60+,Décor,Curtains,3288.69,4,13154.76,2024-12-27,Credit Card
T0177,C1056,41-60,Bedroom,Bed Frame,9403.09,1,9403.09,2024-12-26,EFT
T0178,C7705,41-60,Décor,Curtains,12000.77,1,12000.77,2024-01-10,Cash
T0179,C5760,60+,Bedroom,Mattress,18097.23,1,18097.23,2024-02-22,Store Account
T0180,C6847,60+,Appliances,Oven,4337.44,5,21687.2,2024-07-16,Store Account
T0181,C2780,18-25,Bedroom,Wardrobe,4688.78,1,4688.78,2024-04-25,Credit Card
T0182,C5104,18-25,Appliances,Fridge,15155.29,5,75776.45,2024-09-12,Credit Card
T0183,C3002,41-60,Bedroom,Bedside Table,12255.61,4,49022.44,2024-08-17,Cash
T0184,C9306,60+,Electronics,TV,18956.52,5,94782.6,2024-06-17,EFT
T0185,C3834,26-40,Living Room,Coffee Table,17977.95,1,17977.95,2024-11-12,Credit Card
T0186,C8927,26-40,Dining,Dining Chair,10797.25,2,21594.5,2024-07-04,Store Account
T0187,C5794,26-40,Electronics,Laptop,2897.52,4,11590.08,2024-09-12,EFT
T0188,C3512,18-25,Dining,Dining Chair,17525.08,5,87625.4,2024-12-23,Credit Card
T0189,C9852,41-60,Décor,Wall Art,11559.99,5,57799.95,2024-05-01,Credit Card
T0190,C5463,60+,Bedroom,Wardrobe,3166.86,5,15834.3,2024-11-17,Cash
T0191,C9293,18-25,Electronics,TV,6915.78,1,6915.78,2024-10-05,Store Account
T0192,C6194,18-25,Electronics,Speaker,1652.47,1,1652.47,2024-10-16,Store Account
T0193,C2224,26-40,Living Room,Sofa,6107.71,2,12215.42,2024-11-22,Cash
T0194,C7693,41-60,Bedroom,Wardrobe,14852.37,4,59409.48,2024-10-26,Store Account
T0195,C9540,41-60,Dining,Dining Chair,15585.57,2,31171.14,2024-06-15,EFT
T0196,C4923,41-60,Décor,Rug,3701.1,4,14804.4,2024-04-24,Cash
T0197,C5416,60+,Décor,Lamp,17079.11,2,34158.22,2024-10-27,Store Account
T0198,C3736,60+,Appliances,Oven,11122.66,2,22245.32,2024-03-08,Credit Card
T0199,C1090,18-25,Electronics,Speaker,9368.73,1,9368.73,2024-08-22,Cash
T0200,C3323,60+,Living Room,Sofa,14842.38,4,59369.52,2024-11-20,Cash
